MonitoringLocationIdentifier	Monitoring Location ID
KENAI_WQX-10000002	KBL_m_01.5
KENAI_WQX-10000005	KBL_m_06.5
KENAI_WQX-10000008	KBL_t_00.0
KENAI_WQX-10000015	KBL_t_10.0
KENAI_WQX-10000016	KBL_m_10.1
KENAI_WQX-10000017	KBL_m_12.5
KENAI_WQX-10000018	KBL_m_18.0
KENAI_WQX-10000020	KBL_t_19.0
KENAI_WQX-10000021	KBL_m_21.0
KENAI_WQX-10000022	KBL_t_22.0
KENAI_WQX-10000023	KBL_m_23.0
KENAI_WQX-10000024	KBL_t_30.0
KENAI_WQX-10000025	KBL_m_31.0
KENAI_WQX-10000026	KBL_t_36.0
KENAI_WQX-10000027	KBL_m_40.0
KENAI_WQX-10000028	KBL_m_43.0
KENAI_WQX-10000029	KBL_t_44.0
KENAI_WQX-10000030	KBL_m_50.0
KENAI_WQX-10000031	KBL_m_70.0
KENAI_WQX-10000032	KBL_t_74.0
KENAI_WQX-10000424	KBL_t_79.5
KENAI_WQX-10000425	KBL_m_82.0
