"","collect_date","collect_time","monitoring_location_name","units","result_detection_condition","sample_condition","Iron","Iron, Total","particulate_conc","total_greater_diss"
"1",2021-07-27,09:30:00,"Kenai River - River Mile 0 - ""No Name"" Creek","mg/L",NA,NA,0.527,2.39,1.863,"Y"
"2",2021-07-27,09:45:00,"Kenai River - River Mile 0 - ""No Name"" Creek","mg/L",NA,"Field Duplicate",0.625,2.51,1.885,"Y"
"3",2021-07-27,10:30:00,"Kenai River - River Mile 1.5","mg/L","Not Detected",NA,NA,NA,NA,NA
"4",2021-07-27,09:50:00,"Kenai River - River Mile 10 - Beaver Creek","mg/L",NA,NA,1.02,2.17,1.15,"Y"
"5",2021-07-27,10:10:00,"Kenai River - River Mile 10.1","mg/L","Not Detected",NA,NA,NA,NA,NA
"6",2021-07-27,10:28:00,"Kenai River - The Pillars Park","mg/L","Not Detected",NA,NA,NA,NA,NA
"7",2021-07-27,10:50:00,"Kenai River - River Mile 18","mg/L","Not Detected",NA,NA,NA,NA,NA
"8",2021-07-27,09:28:00,"Kenai River - River Mile 19 - Slikok Creek","mg/L",NA,NA,0.408,0.889,0.481,"Y"
"9",2021-07-27,10:10:00,"Kenai River - River Mile 21","mg/L","Not Detected",NA,NA,NA,NA,NA
"10",2021-07-27,11:25:00,"Kenai River - River Mile 22 - Soldotna Creek","mg/L",NA,NA,0.357,1.07,0.713,"Y"
"11",2021-07-27,10:43:00,"Kenai River - River Mile 23","mg/L","Not Detected",NA,NA,NA,NA,NA
"12",2021-07-27,09:30:00,"Kenai River - River Mile 30 - Funny River","mg/L",NA,NA,0.257,0.719,0.462,"Y"
"13",2021-07-27,09:10:00,"Kenai River - Cunningham Park","mg/L","Not Detected",NA,NA,NA,NA,NA
"14",2021-05-11,11:35:00,"Kenai River - River Mile 22 - Soldotna Creek","mg/L",NA,NA,NA,1.03,NA,NA
"15",2021-05-11,11:10:00,"Kenai River - River Mile 23","mg/L",NA,NA,NA,0.418,NA,NA
"16",2021-05-11,09:06:00,"Kenai River - River Mile 30 - Funny River","mg/L",NA,NA,NA,0.807,NA,NA
"17",2021-05-11,10:13:00,"Kenai River - River Mile 31","mg/L",NA,NA,NA,0.417,NA,NA
"18",2021-05-11,10:30:00,"Kenai River - River Mile 10.1","mg/L",NA,NA,NA,0.427,NA,NA
"19",2021-05-11,10:50:00,"Kenai River - The Pillars Park","mg/L",NA,NA,NA,0.471,NA,NA
"20",2021-05-11,11:25:00,"Kenai River - River Mile 18","mg/L",NA,NA,NA,0.546,NA,NA
"21",2021-05-11,12:09:00,"Kenai River - River Mile 19 - Slikok Creek","mg/L",NA,NA,NA,0.605,NA,NA
"22",2021-05-11,09:53:00,"Kenai River - River Mile 21","mg/L",NA,NA,NA,0.526,NA,NA
"23",2021-05-11,10:17:00,"Kenai River - River Mile 0 - ""No Name"" Creek","mg/L",NA,"Field Duplicate",NA,4.62,NA,NA
"24",2021-05-11,10:12:00,"Kenai River - River Mile 0 - ""No Name"" Creek","mg/L",NA,NA,NA,4.35,NA,NA
"25",2021-05-11,09:30:00,"Kenai River - River Mile 1.5","mg/L",NA,NA,NA,7.3,NA,NA
"26",2021-05-11,09:15:00,"Kenai River - Cunningham Park","mg/L",NA,NA,NA,5.6,NA,NA
"27",2021-05-11,10:05:00,"Kenai River - River Mile 10 - Beaver Creek","mg/L",NA,NA,NA,2.83,NA,NA
"28",2021-07-27,10:30:00,"Kenai River - River Mile 1.5","mg/L",NA,NA,NA,3.24,NA,NA
"29",2021-07-27,09:10:00,"Kenai River - Cunningham Park","mg/L",NA,NA,NA,0.383,NA,NA
"30",2021-07-27,10:10:00,"Kenai River - River Mile 10.1","mg/L",NA,NA,NA,0.37,NA,NA
"31",2021-07-27,10:28:00,"Kenai River - The Pillars Park","mg/L",NA,NA,NA,0.356,NA,NA
"32",2021-07-27,10:50:00,"Kenai River - River Mile 18","mg/L",NA,NA,NA,0.315,NA,NA
"33",2021-07-27,10:10:00,"Kenai River - River Mile 21","mg/L",NA,NA,NA,0.29,NA,NA
"34",2021-07-27,10:43:00,"Kenai River - River Mile 23","mg/L",NA,NA,NA,0.299,NA,NA
"35",2021-07-27,10:50:00,"Kenai River - River Mile 31","mg/L",NA,NA,NA,0.267,NA,NA
"36",2021-07-27,10:50:00,"Kenai River - River Mile 31","mg/L",NA,"Field Duplicate",NA,0.287,NA,NA
"37",2021-07-27,11:30:00,"Kenai River - River Mile 36 - Moose River","mg/L",NA,NA,NA,0.511,NA,NA
"38",2021-07-27,09:50:00,"Kenai River - River Mile 40","mg/L",NA,NA,NA,0.268,NA,NA
"39",2021-07-27,09:30:00,"Kenai River - River Mile 43","mg/L",NA,NA,NA,0.361,NA,NA
"40",2021-07-27,09:14:00,"Kenai River - River Mile 44 - Killey River","mg/L",NA,NA,NA,2.17,NA,NA
"41",2021-07-27,08:40:00,"Kenai River - River Mile 50 - Skilak Lake Outflow","mg/L",NA,NA,NA,0.076,NA,NA
"42",2021-07-27,09:40:00,"Kenai River - River Mile 70 - Jim's Landing","mg/L",NA,NA,NA,0.058,NA,NA
"43",2021-07-27,08:50:00,"Kenai River - River Mile 74 - Russian River","mg/L","Not Detected",NA,NA,NA,NA,NA
"44",2021-07-27,08:15:00,"Kenai River Mile 82 - Kenai Lake Bridge","mg/L",NA,NA,NA,0.063,NA,NA
"45",2021-07-27,09:10:00,"Kenai River Juneau Creek","mg/L",NA,NA,NA,0.035,NA,NA
