"","characteristic_name","reg_unit","Standard","value","static_category"
"1","Antimony","ug/l","drinking_water",6,NA
"2","Antimony","ug/l","stock_water",NA,NA
"3","Antimony","ug/l","irrigation_water",NA,NA
"4","Arsenic","ug/l","drinking_water",10,NA
"5","Arsenic","ug/l","stock_water",50,NA
"6","Arsenic","ug/l","irrigation_water",100,NA
"7","Barium","ug/l","drinking_water",2000,NA
"8","Barium","ug/l","stock_water",NA,NA
"9","Barium","ug/l","irrigation_water",NA,NA
"10","Beryllium","ug/l","drinking_water",4,NA
"11","Beryllium","ug/l","stock_water",NA,NA
"12","Beryllium","ug/l","irrigation_water",100,NA
"13","Boron","ug/l","drinking_water",NA,NA
"14","Boron","ug/l","stock_water",NA,NA
"15","Boron","ug/l","irrigation_water",750,NA
"16","Cadmium","ug/l","drinking_water",5,NA
"17","Cadmium","ug/l","stock_water",10,NA
"18","Cadmium","ug/l","irrigation_water",10,NA
"19","Chromium","ug/l","drinking_water",100,NA
"20","Chromium","ug/l","stock_water",NA,NA
"21","Chromium","ug/l","irrigation_water",100,NA
"22","Cobalt","ug/l","drinking_water",NA,NA
"23","Cobalt","ug/l","stock_water",NA,NA
"24","Cobalt","ug/l","irrigation_water",50,NA
"25","Copper","ug/l","drinking_water",NA,NA
"26","Copper","ug/l","stock_water",NA,NA
"27","Copper","ug/l","irrigation_water",200,NA
"28","Lead","ug/l","drinking_water",NA,NA
"29","Lead","ug/l","stock_water",50,NA
"30","Lead","ug/l","irrigation_water",5000,NA
"31","Molybdenum","ug/l","drinking_water",NA,NA
"32","Molybdenum","ug/l","stock_water",NA,NA
"33","Molybdenum","ug/l","irrigation_water",10,NA
"34","Nickel","ug/l","drinking_water",100,NA
"35","Nickel","ug/l","stock_water",NA,NA
"36","Nickel","ug/l","irrigation_water",200,NA
"37","Selenium","ug/l","drinking_water",50,NA
"38","Selenium","ug/l","stock_water",10,NA
"39","Selenium","ug/l","irrigation_water",20,NA
"40","Thallium","ug/l","drinking_water",2,NA
"41","Thallium","ug/l","stock_water",NA,NA
"42","Thallium","ug/l","irrigation_water",NA,NA
"43","Nitrate + Nitrite","mg/l","drinking_water",10,NA
"44","Nitrate + Nitrite","mg/l","stock_water",NA,NA
"45","Nitrate + Nitrite","mg/l","irrigation_water",NA,NA
"46","Vanadium","ug/l","drinking_water",NA,NA
"47","Vanadium","ug/l","stock_water",NA,NA
"48","Vanadium","ug/l","irrigation_water",100,NA
"49","Zinc","ug/l","drinking_water",NA,NA
"50","Zinc","ug/l","stock_water",NA,NA
"51","Zinc","ug/l","irrigation_water",2000,NA
"52","Benzene, toluene, ethyl benzene, xylenes mix","ug/l","aquaculture_water",10,NA
"53","pH","none","aquaculture_minimum_water",6.5,"other"
"54","pH","none","aquaculture_maximum_water",8.5,"other"
