"characteristic_name","reg_unit","Standard","value","static_category"
"Antimony","ug/l","drinking_water",6,NA
"Antimony","ug/l","stock_water",NA,NA
"Antimony","ug/l","irrigation_water",NA,NA
"Arsenic","ug/l","drinking_water",10,NA
"Arsenic","ug/l","stock_water",50,NA
"Arsenic","ug/l","irrigation_water",100,NA
"Barium","ug/l","drinking_water",2000,NA
"Barium","ug/l","stock_water",NA,NA
"Barium","ug/l","irrigation_water",NA,NA
"Beryllium","ug/l","drinking_water",4,NA
"Beryllium","ug/l","stock_water",NA,NA
"Beryllium","ug/l","irrigation_water",100,NA
"Boron","ug/l","drinking_water",NA,NA
"Boron","ug/l","stock_water",NA,NA
"Boron","ug/l","irrigation_water",750,NA
"Cadmium","ug/l","drinking_water",5,NA
"Cadmium","ug/l","stock_water",10,NA
"Cadmium","ug/l","irrigation_water",10,NA
"Chromium","ug/l","drinking_water",100,NA
"Chromium","ug/l","stock_water",NA,NA
"Chromium","ug/l","irrigation_water",100,NA
"Cobalt","ug/l","drinking_water",NA,NA
"Cobalt","ug/l","stock_water",NA,NA
"Cobalt","ug/l","irrigation_water",50,NA
"Copper","ug/l","drinking_water",NA,NA
"Copper","ug/l","stock_water",NA,NA
"Copper","ug/l","irrigation_water",200,NA
"Lead","ug/l","drinking_water",NA,NA
"Lead","ug/l","stock_water",50,NA
"Lead","ug/l","irrigation_water",5000,NA
"Molybdenum","ug/l","drinking_water",NA,NA
"Molybdenum","ug/l","stock_water",NA,NA
"Molybdenum","ug/l","irrigation_water",10,NA
"Nickel","ug/l","drinking_water",100,NA
"Nickel","ug/l","stock_water",NA,NA
"Nickel","ug/l","irrigation_water",200,NA
"Selenium","ug/l","drinking_water",50,NA
"Selenium","ug/l","stock_water",10,NA
"Selenium","ug/l","irrigation_water",20,NA
"Thallium","ug/l","drinking_water",2,NA
"Thallium","ug/l","stock_water",NA,NA
"Thallium","ug/l","irrigation_water",NA,NA
"Total Nitrate/Nitrite-N","ug/l","drinking_water",10000,NA
"Total Nitrate/Nitrite-N","ug/l","stock_water",NA,NA
"Total Nitrate/Nitrite-N","ug/l","irrigation_water",NA,NA
"Vanadium","ug/l","drinking_water",NA,NA
"Vanadium","ug/l","stock_water",NA,NA
"Vanadium","ug/l","irrigation_water",100,NA
"Zinc","ug/l","drinking_water",NA,NA
"Zinc","ug/l","stock_water",NA,NA
"Zinc","ug/l","irrigation_water",2000,NA
"pH",NA,"aquaculture_minimum_water",6.5,"other"
"pH",NA,"aquaculture_maximum_water",8.5,"other"
